track_id,track_name,artist_name,album_name,album_id,release_date,popularity,duration_ms,album_images,album_image_url,artist_ids,explicit,preview_url
0O0bttAxJKKWqAqY2Nq4mC,Falling In Love,Cigarettes After Sex,Cry,4uQ5kFmXQdCxz3WvM4UUzy,2019-10-25,50,245840,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf,['1QAJqy2dA3ihHBFIHRphZj'],False,
4nvLuqwTOZdEJI1fcHXv8h,You're All I Want,Cigarettes After Sex,You're All I Want,0C4YWH1f1zcPhIhNIB6S82,2020-05-26,47,264453,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2734a10d87775c6bb25c8ca068b', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e024a10d87775c6bb25c8ca068b', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048514a10d87775c6bb25c8ca068b', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b2734a10d87775c6bb25c8ca068b,['1QAJqy2dA3ihHBFIHRphZj'],True,
0u4rkpmNtgcFxYHepnVF4v,Carry You,Novo Amor,Bathing Beach,4vGuMdwnxc6X8izbVS6MTN,2017-05-26,69,273106,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273277620423172f5a151f452e3', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02277620423172f5a151f452e3', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851277620423172f5a151f452e3', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273277620423172f5a151f452e3,['0rZp7G3gIH6WkyeXbrZnGi'],False,
5DZNSYxhFA1WA9WEJg9TNY,Dreaming of You,Cigarettes After Sex,I.,12UGkXT4z3ajgq6xheCGDk,2012-07-21,9,322218,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029da736813eb8d9de94d46828', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519da736813eb8d9de94d46828', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828,['1QAJqy2dA3ihHBFIHRphZj'],False,
7qH9Z4dJEN0l9bidizW7fq,Anchor,Novo Amor,Bathing Beach,4vGuMdwnxc6X8izbVS6MTN,2017-05-26,80,257533,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273277620423172f5a151f452e3', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02277620423172f5a151f452e3', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851277620423172f5a151f452e3', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273277620423172f5a151f452e3,['0rZp7G3gIH6WkyeXbrZnGi'],False,
2hIsd0F6ZGfHCC1xa7vSad,Each Time You Fall in Love,Cigarettes After Sex,Cigarettes After Sex,2mxFsS5yylSTHNivV53HoA,2017-06-09,11,290630,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,['1QAJqy2dA3ihHBFIHRphZj'],False,
5Bv3hddlRFyhTcYtYeoXed,Naav (Chadhti Lehrein Laang Na Paye),"Mohan, Amit Trivedi",Udaan,675yMfRB6Diis4V1bJi4KL,2010-06-29,40,252158,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273539dd7702845ac03e2c64ac5', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02539dd7702845ac03e2c64ac5', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851539dd7702845ac03e2c64ac5', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273539dd7702845ac03e2c64ac5,"['7EdTAVtoAnKfEoTFrl1BfS', '7HCqGPJcQTyGJ2yqntbuyr']",False,
3YL4zMqcyFu0OfLI1sZ66Z,Starry Eyes,Cigarettes After Sex,I.,12UGkXT4z3ajgq6xheCGDk,2012-07-21,9,206000,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029da736813eb8d9de94d46828', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519da736813eb8d9de94d46828', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828,['1QAJqy2dA3ihHBFIHRphZj'],False,
6TWcSqCntZhH5vyc35kkob,John Wayne,Cigarettes After Sex,Cigarettes After Sex,2mxFsS5yylSTHNivV53HoA,2017-06-09,15,258483,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,['1QAJqy2dA3ihHBFIHRphZj'],False,
4b3khTm3ufGRTyZwuYdasn,Don't Let Me Go,Cigarettes After Sex,Cry,4uQ5kFmXQdCxz3WvM4UUzy,2019-10-25,45,262560,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf,['1QAJqy2dA3ihHBFIHRphZj'],False,
